Species	ar	ln	wpr	mnv.p	ar.p	ln.p	wpr.p	mean_DI13	Pval_13C	mean_DI20	Pval_20C	ar.c	ln.c	wpr.c	Sd13.c	Sd20.c
Phytophthora_drechsleri	2.257	21.703	16.444	0	0	0	0	13.055556	1	90.27778	0.0487303	1	1	1	0	1
Phytophthora_sansomeana	0.258	2.254	2.333	0	0	0	0	58.888889	1	94.72222	0.0038602	1	1	1	0	1
Phytophthora_sojae	2.147	28.181	20.926	0	0	0	0	2.222222	1	27.59259	1	1	1	1	0	0
Pythium_aff_diclinum	1.768	18.602	28.741	0	0	0	0	78.703704	0.0324765	32.96296	1	1	1	1	1	0
Pythium_aff_dictyosporum	2.186	22.22	18.778	0	0	0	0	93.333333	0.0056099	85.13889	0.0166793	1	1	1	1	1
Pythium_aff_dissotocum	2.715	38.133	27.926	0	0	0	0	50.462963	1	27.31481	1	1	1	1	0	0
Pythium_aff_torulosum	2.889	38.977	28.222	0	0	0	0	50.740741	1	38.98148	1	1	1	1	0	0
Pythium_attrantheridium	2.051	27.772	23.259	0	0	0	0	25.277778	1	26.2037	1	1	1	1	0	0
Pythium_cryptoirregulare	1.74	17.28	19.556	0	0	0	0	99.722222	0.0183858	95.55556	0.0212554	1	1	1	1	1
Pythium_heterothallicum	2.431	34.058	27.556	0	0	0	0	30.277778	1	24.25926	1	1	1	1	0	0
Pythium_intermedium	3.41	42.129	41.852	0	0	0	0	83.055556	0.015511	53.42593	1	1	1	1	1	0
Pythium_irregulare	1.618	19.662	20.963	0	0	0	0	98.888889	0.0006544	80.46296	0.0268119	1	1	1	1	1
Pythium_kunmingense	1.301	10.641	13.667	0	0	0	0	100	0.0016248	89.30556	0.0074605	1	1	1	1	1
Pythium_lutarium	2.535	33.427	26.148	0	0	0	0	62.685185	0.4084288	49.25926	1	1	1	1	0	0
Pythium_oopapillum	2.67	36.522	27.926	0	0	0	0	51.388889	1	25.27778	1	1	1	1	0	0
Pythium_sylvaticum	1.995	26.115	28.667	0	0	0	0	99.444444	0.0005819	74.44444	0.0831932	1	1	1	1	0
Pythium_ultimum	0.183	1.539	5.111	0	0	0	0	99.166667	0.0006172	99.25926	0.0002355	1	1	1	1	1
Pythium_ultimum_var_sporangiiferum	1.337	15.196	19.2	0	0	0	0	96.481482	0.0010813	98.05556	0.000613	1	1	1	1	1
Pythium_ultimum_var_ultimum	0.481	4.228	8.256	0	0	0	0	99.814815	0.000538	99.62963	0.0004229	1	1	1	1	1
Pythium_periplocum	4.998	52.741	38.489	0	0	0	0.003	44.62963	1	42.87037	1	1	1	1	0	0
Pythium_terrestris	2.379	23.475	36.222	0	0	0	1	99.166667	0.0208115	77.77778	0.2713636	1	1	0	1	0
Pythium_tardicrescens	4.745	57.746	43.704	0	0	0.001	0.104	42.12963	1	45.37037	1	1	1	0	0	0
Aphanomyces_cladogamus	2.33	31.646	28.667	0	0	0.002	0.044	8.611111	1	13.61111	1	1	1	1	0	0
Pythium_coloratum	4.316	51.893	56.593	0	0	0.003	1	71.666667	0.1088207	49.53704	1	1	1	0	0	0
Phytopythium_helicoides	3.794	41.125	36.111	0	0	0.016	0.251	22.5	1	91.94444	0.0044025	1	1	0	0	1
Pythium_aphanidermatum	4.073	51.256	56.741	0	0	0.016	1	53.240741	1	99.90741	0.0002605	1	1	0	0	1
Phytophthora_rosacearum	4.973	58.232	42	0	0	0.031	1	51.296296	1	33.88889	1	1	1	0	0	0
Phytopythium_chamaehyphon	4.637	54.824	42.074	0	0	0.163	1	32.87037	1	37.22222	1	1	0	0	0	0
Phytopythium_aff_vexans	4.813	54.681	38.333	0.001	0.001	0.388	0.587	12.083333	1	36.52778	1	1	0	0	0	0
Pythium_minus	5.075	58.632	48.444	0.001	0.001	0.451	1	16.759259	1	16.2963	1	1	0	0	0	0
Pythium_periilum	5.543	59.44	49.556	0.002	0.002	0.186	1	13.333333	1	20.74074	1	1	0	0	0	0
Pythium_hypogynum	5.164	62.808	53.185	0.002	0.002	0.339	1	16.203704	1	16.2037	1	1	0	0	0	0
Pythium_conidiophorum	5.518	64.866	59.481	0.002	0.002	0.343	1	57.87037	0.8314677	24.44444	1	1	0	0	0	0
Phytopythium_litorale	5.076	63.166	53.481	0.002	0.002	0.677	1	33.333333	1	25.46296	1	1	0	0	0	0
Pythium_longisporangium	5.844	61.178	44.667	0.004	0.004	0.139	0.894	18.240741	1	15	1	1	0	0	0	0
Pythium_mercuriale	5.288	65.888	54.815	0.005	0.005	1	1	30.740741	1	27.59259	1	1	0	0	0	0
Aphanomyces_cochlioides	4.379	53.977	38	0.019	0.019	1	1	10.833333	1	14.72222	1	1	0	0	0	0
Pythium_contiguanum	5.44	66.416	62.074	0.019	0.019	1	1	16.851852	1	16.38889	1	1	0	0	0	0
Pythium_vanterpoolii	6.023	70.135	47.704	0.022	0.022	1	1	28.703704	1	14.07407	1	1	0	0	0	0
Pythium_litorale	4.599	53.376	38	0.023	0.023	1	1	19.166667	1	40.83333	1	1	0	0	0	0
Pythium_nagaii	5.602	71.571	52.889	0.026	0.026	1	1	19.62963	1	14.44444	1	1	0	0	0	0
Pythium_nunn	5.76	69.767	61.556	0.039	0.039	1	1	16.944444	1	17.22222	1	1	0	0	0	0
Pythium_longandrum	5.578	67.096	59.259	0.049	0.049	1	1	17.592593	1	16.48148	1	1	0	0	0	0
Pythium_acrogynum	5.401	60.841	64	0.05	0.05	1	1	23.055556	1	15.09259	1	0	0	0	0	0
Pythium_spinosum	6.754	82.996	65.704	0.052	0.052	1	1	80.555556	0.0230556	44.72222	1	0	0	0	1	0
Pythiogeton_zeae	4.84	51.84	36.444	0.057	0.057	1	1	46.388889	1	40.55556	1	0	0	0	0	0
Pythium_middletonii	5.898	70.706	57.333	0.065	0.065	1	1	40.277778	1	29.07407	1	0	0	0	0	0
Pythium_aff_perplexum	6.387	78.246	54.667	0.071	0.071	1	1	43.703704	1	39.25926	1	0	0	0	0	0
Pythium_arrhenomanes	6.148	73.888	55.63	0.088	0.088	1	1	27.407407	1	19.90741	1	0	0	0	0	0
Phytophthora_megasperma	5.485	64.646	40	0.222	0.222	1	1	12.5	1	33.05556	1	0	0	0	0	0
Phytopythium_megacarpum	5.326	59.494	36.222	0.226	0.226	1	1	15.555556	1	36.94444	1	0	0	0	0	0
Pythium_amasculinum	6.212	75.352	66.593	0.296	0.296	1	1	18.888889	1	14.72222	1	0	0	0	0	0
Pythium_sp_balticum	6.227	75.855	63.852	0.301	0.301	1	1	41.666667	1	16.66667	1	0	0	0	0	0
Pythium_kashmirense	6.394	78.918	58.889	0.388	0.388	1	1	18.796296	1	16.01852	1	0	0	0	0	0
Pythium_pleroticum	6.31	77.049	66.519	0.451	0.451	1	1	21.666667	1	16.66667	1	0	0	0	0	0
Pythium_carolinianum	6.849	74.149	54.222	0.46	0.46	1	1	18.888889	1	18.14815	1	0	0	0	0	0
Pythium_aff_hypogynum	5.63	59.058	44.889	0.472	0.472	1	1	18.888889	1	28.05556	1	0	0	0	0	0
Pythium_aff_iwayamai	5.568	63.914	38.444	0.482	0.482	1	1	15.555556	1	36.38889	1	0	0	0	0	0
Pythium_aristosporum	6.473	77.329	62.444	0.529	0.529	1	1	27.777778	1	17.87037	1	0	0	0	0	0
Pythium_glomeratum	6.429	75.849	59.852	0.588	0.588	1	1	20.740741	1	18.05556	1	0	0	0	0	0
Phytophthora_aff_rosacearum	6.816	79.789	51.333	0.601	0.601	1	1	15	1	16.2963	1	0	0	0	0	0
Pythium_adhaerens	7.093	70.184	39.778	0.646	0.646	1	0.518	9.722222	1	27.77778	1	0	0	0	0	0
Pythium_pyrilobum	6.144	66.296	42.667	0.852	0.852	1	1	35	1	26.66667	1	0	0	0	0	0
Phytophthora_inundata	6.875	76.578	65.926	1	1	1	1	14.722222	1	16.2963	1	0	0	0	0	0
Phytophthora_sp	7.274	79.816	44.222	1	1	1	1	11.944444	1	33.88889	1	0	0	0	0	0
Pythium_acanthicum	10.091	121.304	68.963	1	1	1	1	20.833333	1	15.74074	1	0	0	0	0	0
Pythium_acanthophoron	8.961	93.521	55.111	1	1	1	1	10	1	27.5	1	0	0	0	0	0
Pythium_angustatum	8.585	96.254	52.889	1	1	1	1	12.5	1	28.05556	1	0	0	0	0	0
Pythium_camurandrum	7.182	79.656	47.556	1	1	1	1	6.111111	1	26.38889	1	0	0	0	0	0
Pythium_catenulatum	7.573	83.61	50.37	1	1	1	1	11.388889	1	30.74074	1	0	0	0	0	0
Pythium_chondricola	7.262	81.759	49.556	1	1	1	1	8.611111	1	28.61111	1	0	0	0	0	0
Pythium_hydnosporum	8.36	92.168	50.444	1	1	1	1	15.833333	1	31.80556	1	0	0	0	0	0
Pythium_inflatum	7.879	100.851	64.37	1	1	1	1	30.648148	1	18.42593	1	0	0	0	0	0
Pythium_monospermum	7.119	80.031	64.556	1	1	1	1	10.138889	1	13.61111	1	0	0	0	0	0
Pythium_nodosum	10.035	119.017	72	1	1	1	1	17.87037	1	17.03704	1	0	0	0	0	0
Pythium_oligandrum	6.786	78.245	63.111	1	1	1	1	20.462963	1	15.27778	1	0	0	0	0	0
Pythium_orthogonon	6.637	79.67	64.815	1	1	1	1	15.740741	1	18.05556	1	0	0	0	0	0
Pythium_pachycaule	8.091	99.187	71.185	1	1	1	1	12.87037	1	14.16667	1	0	0	0	0	0
Pythium_paroecandrum	7.528	95.394	67.778	1	1	1	1	93.981482	0.001802	49.25926	1	0	0	0	1	0
Pythium_perplexum	10.063	120.464	76.444	1	1	1	1	28.703704	1	15.27778	1	0	0	0	0	0
Pythium_rhizosaccharum	6.389	73.245	65.333	1	1	1	1	15	1	17.40741	1	0	0	0	0	0
Pythium_rostratifingens	8.624	107.139	69.704	1	1	1	1	17.685185	1	16.38889	1	0	0	0	0	0
Pythium_sterilum	6.356	67.293	44.222	1	1	1	1	30	1	45.27778	1	0	0	0	0	0
Pythium_torulosum	6.622	74.909	68.444	1	1	1	1	29.537037	1	17.68519	1	0	0	0	0	0
Phytophthora_sp_CAL-2011b																
Phytophthora_sp_ohioensis																
Eurychasma_dicksonii																
