OTU	Phylum	Class	Order	Family	Genus	Clade	Species
Otu001	"Heterokontophyta"	"Oomycetes"	"Saprolegniales"	"Saprolegniaceae"	"Aphanomyces"	"Aphanomyces"	"Aphanomyces_cladogamus"
Otu002	"Heterokontophyta"	"Oomycetes"	"Saprolegniales"	"Saprolegniaceae"	"Aphanomyces"	"Aphanomyces"	"Aphanomyces_cochlioides"
Otu003	"Heterokontophyta"	"Oomycetes"	"Pythiales"	"Pythiaceae"	"Phytophthora"	"Phytophthora_Clade_6"	"Phytophthora_aff._rosacearum"
Otu004	"Heterokontophyta"	"Oomycetes"	"Pythiales"	"Pythiaceae"	"Phytophthora"	"Phytophthora_Clade_8"	"Phytophthora_drechsleri"
Otu005	"Heterokontophyta"	"Oomycetes"	"Pythiales"	"Pythiaceae"	"Phytophthora"	"Phytophthora_Clade_6"	"Phytophthora_inundata"
Otu006	"Heterokontophyta"	"Oomycetes"	"Pythiales"	"Pythiaceae"	"Phytophthora"	"Phytophthora_Clade_6"	"Phytophthora_megasperma"
Otu007	"Heterokontophyta"	"Oomycetes"	"Pythiales"	"Pythiaceae"	"Phytophthora"	"Phytophthora_Clade_6"	"Phytophthora_rosacearum"
Otu008	"Heterokontophyta"	"Oomycetes"	"Pythiales"	"Pythiaceae"	"Phytophthora"	"Phytophthora_Clade_8"	"Phytophthora_sansomeana"
Otu009	"Heterokontophyta"	"Oomycetes"	"Pythiales"	"Pythiaceae"	"Phytophthora"	"Phytophthora_Clade_7"	"Phytophthora_sojae"
Otu010	"Heterokontophyta"	"Oomycetes"	"Pythiales"	"Pythiaceae"	"Phytophthora"	"Phytophthora_sp."	"Phytophthora_sp."
Otu011	"Heterokontophyta"	"Oomycetes"	"Pythiales"	"Pythiaceae"	"Phytopythium"	"Phytopythium"	"Phytopythium_aff._vexans"
Otu012	"Heterokontophyta"	"Oomycetes"	"Pythiales"	"Pythiaceae"	"Phytopythium"	"Phytopythium"	"Phytopythium_chamaehyphon"
Otu013	"Heterokontophyta"	"Oomycetes"	"Pythiales"	"Pythiaceae"	"Phytopythium"	"Phytopythium"	"Phytopythium_helicoides"
Otu014	"Heterokontophyta"	"Oomycetes"	"Pythiales"	"Pythiaceae"	"Phytopythium"	"Phytopythium"	"Phytopythium_litorale"
Otu015	"Heterokontophyta"	"Oomycetes"	"Pythiales"	"Pythiaceae"	"Phytopythium"	"Phytopythium"	"Phytopythium_megacarpum"
Otu016	"Heterokontophyta"	"Oomycetes"	"Pythiales"	"Pythiaceae"	"Phytopythium"	"Phytopythium"	"Phytopythium_mercuriale"
Otu017	"Heterokontophyta"	"Oomycetes"	"Pythiales"	"Pythiogetonaceae"	"Pythiogeton"	"Pythiogeton"	"Pythiogeton_sp."
