Field_Code	State	Sample	Host	Year	Lat	Long
ARSO_1	Arkansas	1	SO	2011	34.46	-91.42
IASO_1	Iowa	1	SO	2011	41.25	-91.54
IASO_10	Iowa	10	SO	2011	41.30	-91.69
IASO_2	Iowa	2	SO	2011	41.74	-92.73
IASO_3	Iowa	3	SO	2011	42.19	-93.01
IASO_4	Iowa	4	SO	2011	41.65	-95.96
IASO_5	Iowa	5	SO	2011	40.86	-93.75
IASO_6	Iowa	6	SO	2011	40.91	-93.76
IASO_7	Iowa	7	SO	2011	40.91	-93.76
IASO_8	Iowa	8	SO	2011	42.56	-94.66
IASO_9	Iowa	9	SO	2011	42.32	-92.60
ILSO_1	Illinois	1	SO	2011	40.08	-88.23
ILSO_2	Illinois	2	SO	2011	40.91	-90.65
ILSO_3	Illinois	3	SO	2011	37.71	-88.25
ILSO_4	Illinois	4	SO	2011	39.57	-90.83
ILSO_5	Illinois	5	SO	2011	39.07	-89.02
ILSO_6	Illinois	6	SO	2011	38.90	-89.93
INSO_1	Indiana	1	SO	2011	40.30	-86.89
INSO_2	Indiana	2	SO	2011	39.69	-87.11
INSO_3	Indiana	3	SO	2011	40.43	-85.26
INSO_4	Indiana	4	SO	2011	41.17	-85.74
INSO_5	Indiana	5	SO	2011	40.96	-87.13
KSSO_1	Kansas	1	SO	2011	39.96	-97.52
KSSO_2	Kansas	2	SO	2011	39.96	-97.42
KSSO_3	Kansas	3	SO	2011	39.34	-95.46
KSSO_4	Kansas	4	SO	2011	39.31	-96.36
KSSO_5	Kansas	5	SO	2011	39.31	-96.33
KSSO_6	Kansas	6	SO	2011	38.97	-95.58
KSSO_7	Kansas	7	SO	2011	38.82	-94.94
MISO_1	Michigan	1	SO	2011	41.83	-86.53
MISO_10	Michigan	10	SO	2011	42.88	-84.72
MISO_11	Michigan	11	SO	2011	42.88	-84.71
MISO_12	Michigan	12	SO	2011	42.86	-84.77
MISO_13	Michigan	13	SO	2011	42.86	-84.79
MISO_2	Michigan	2	SO	2011	42.62	-85.84
MISO_3	Michigan	3	SO	2011	42.65	-84.02
MISO_4	Michigan	4	SO	2011	42.66	-84.01
MISO_5	Michigan	5	SO	2011	42.83	-84.51
MISO_6	Michigan	6	SO	2011	42.87	-84.51
MISO_7	Michigan	7	SO	2011	41.93	-84.79
MISO_8	Michigan	8	SO	2011	42.71	-84.47
MISO_9	Michigan	9	SO	2011	42.88	-84.72
MNSO_1	Minnesota	1	SO	2011	44.07	-93.53
MNSO_2	Minnesota	2	SO	2011	43.67	-94.72
