Species,Set,Isolate,Rep,Whole Shoot,Roots,Number Plants,Weight per root,Weight per shoot
Pythium aff. torulosum ,Set_1-1,AR_15.S.2.7.A,R1,670,50,5,10,134
Pythium aff. torulosum ,Set_1-1,AR_15.S.2.7.A,R2,680,110,5,22,136
Pythium aff. torulosum ,Set_1-1,AR_15.S.2.7.A,R3,630,80,5,16,126
Pythium aff. dissotocum,Set_1-1,AR_160.S.1.9.A,R1,900,160,5,32,180
Pythium aff. dissotocum,Set_1-1,AR_160.S.1.9.A,R2,650,70,5,14,130
Pythium aff. dissotocum,Set_1-1,AR_160.S.1.9.A,R3,730,60,5,12,146
Pythium lutarium ,Set_1-1,AR_284.S.1.4.A,R1,650,80,5,16,130
Pythium lutarium ,Set_1-1,AR_284.S.1.4.A,R2,690,110,5,22,138
Pythium lutarium ,Set_1-1,AR_284.S.1.4.A,R3,620,50,5,10,124
CONTROL,Set_1-1,CONTROL,R1,820,180,5,36,164
CONTROL,Set_1-1,CONTROL,R2,800,190,5,38,160
CONTROL,Set_1-1,CONTROL,R3,660,220,5,44,132
CONTROL_NR,Set_1-1,CONTROL_NR,R1,850,180,5,36,170
CONTROL_NR,Set_1-1,CONTROL_NR,R2,760,170,5,34,152
CONTROL_NR,Set_1-1,CONTROL_NR,R3,690,180,5,36,138
Pythium aff. torulosum ,Set_1-1,IASO_10-16.27,R1,880,40,5,8,176
Pythium aff. torulosum ,Set_1-1,IASO_10-16.27,R2,720,100,5,20,144
Pythium aff. torulosum ,Set_1-1,IASO_10-16.27,R3,820,100,5,20,164
Pythium heterothallicum,Set_1-1,IASO_10-32.3,R1,770,110,5,22,154
Pythium heterothallicum,Set_1-1,IASO_10-32.3,R2,850,30,5,6,170
Pythium heterothallicum,Set_1-1,IASO_10-32.3,R3,740,40,5,8,148
Pythium aff. dissotocum,Set_1-1,IASO_10-37.8,R1,820,30,5,6,164
Pythium aff. dissotocum,Set_1-1,IASO_10-37.8,R2,720,80,5,16,144
Pythium aff. dissotocum,Set_1-1,IASO_10-37.8,R3,760,10,5,2,152
Pythium irregulare ,Set_1-1,IASO_2-21.2,R1,730,80,5,16,146
Pythium irregulare ,Set_1-1,IASO_2-21.2,R2,690,80,5,16,138
Pythium irregulare ,Set_1-1,IASO_2-21.2,R3,660,100,5,20,132
Phytophthora sojae ,Set_1-1,IASO_3-41.17,R1,620,0,5,0,124
Phytophthora sojae ,Set_1-1,IASO_3-41.17,R2,570,0,5,0,114
Phytophthora sojae ,Set_1-1,IASO_3-41.17,R3,570,5.2,5,1,114
Pythium attrantheridium,Set_1-1,IASO_6-36.41,R1,720,140,5,28,144
Pythium attrantheridium,Set_1-1,IASO_6-36.41,R2,720,90,5,18,144
Pythium attrantheridium,Set_1-1,IASO_6-36.41,R3,810,160,5,32,162
Phytophthora sojae ,Set_1-1,IASO_8-13.10,R1,690,20,5,4,138
Phytophthora sojae ,Set_1-1,IASO_8-13.10,R2,470,10,5,2,94
Phytophthora sojae ,Set_1-1,IASO_8-13.10,R3,620,20,5,4,124
Pythium ultimum var. sporangiiferum ,Set_1-1,ILSO_3-21A,R1,660,10,5,2,132
Pythium ultimum var. sporangiiferum ,Set_1-1,ILSO_3-21A,R2,420,0,5,0,84
Pythium ultimum var. sporangiiferum ,Set_1-1,ILSO_3-21A,R3,470,0,5,0,94
Pythium attrantheridium,Set_1-1,ILSO_3-24A,R1,730,110,5,22,146
Pythium attrantheridium,Set_1-1,ILSO_3-24A,R2,720,20,5,4,144
Pythium attrantheridium,Set_1-1,ILSO_3-24A,R3,840,120,5,24,168
Pythium ultimum var. ultimum,Set_1-1,ILSO_4-52C,R1,750,20,5,4,150
Pythium ultimum var. ultimum,Set_1-1,ILSO_4-52C,R2,720,30,5,6,144
Pythium ultimum var. ultimum,Set_1-1,ILSO_4-52C,R3,590,4.3,5,0.9,118
Pythium oopapillum,Set_1-1,ILSO_6-12B,R1,740,140,5,28,148
Pythium oopapillum,Set_1-1,ILSO_6-12B,R2,740,30,5,6,148
Pythium oopapillum,Set_1-1,ILSO_6-12B,R3,650,90,5,18,130
Pythium sylvaticum ,Set_1-1,INSO_1-10C,R1,660,90,5,18,132
Pythium sylvaticum ,Set_1-1,INSO_1-10C,R2,560,70,5,14,112
Pythium sylvaticum ,Set_1-1,INSO_1-10C,R3,690,160,5,32,138
Pythium oopapillum,Set_1-1,INSO_1-53A,R1,750,90,5,18,150
Pythium oopapillum,Set_1-1,INSO_1-53A,R2,590,100,5,20,118
Pythium oopapillum,Set_1-1,INSO_1-53A,R3,660,150,5,30,132
Pythium lutarium ,Set_1-1,INSO_1-8A,R1,690,150,5,30,138
Pythium lutarium ,Set_1-1,INSO_1-8A,R2,780,140,5,28,156
Pythium lutarium ,Set_1-1,INSO_1-8A,R3,660,70,5,14,132
Pythium aff. torulosum ,Set_1-1,INSO_4-10,R1,930,200,5,40,186
Pythium aff. torulosum ,Set_1-1,INSO_4-10,R2,760,140,5,28,152
Pythium aff. torulosum ,Set_1-1,INSO_4-10,R3,740,170,5,34,148
Pythium ultimum var. sporangiiferum ,Set_1-1,INSO_5-50,R1,680,60,5,12,136
Pythium ultimum var. sporangiiferum ,Set_1-1,INSO_5-50,R2,510,60,5,12,102
Pythium ultimum var. sporangiiferum ,Set_1-1,INSO_5-50,R3,650,40,5,8,130
Pythium irregulare ,Set_1-1,KSSO_2-10,R1,720,100,5,20,144
Pythium irregulare ,Set_1-1,KSSO_2-10,R2,680,60,5,12,136
Pythium irregulare ,Set_1-1,KSSO_2-10,R3,710,80,5,16,142
Aphanomyces cladogamus ,Set_1-1,KSSO_5-30,R1,820,130,5,26,164
Aphanomyces cladogamus ,Set_1-1,KSSO_5-30,R2,710,10,5,2,142
Aphanomyces cladogamus ,Set_1-1,KSSO_5-30,R3,720,110,5,22,144
Phytophthora sansomeana,Set_1-1,KSSO_6-1,R1,690,20,5,4,138
Phytophthora sansomeana,Set_1-1,KSSO_6-1,R2,770,10,5,2,154
Phytophthora sansomeana,Set_1-1,KSSO_6-1,R3,740,30,5,6,148
Pythium ultimum var. sporangiiferum ,Set_1-1,KSSO_6-30,R1,730,110,5,22,146
Pythium ultimum var. sporangiiferum ,Set_1-1,KSSO_6-30,R2,650,90,5,18,130
Pythium ultimum var. sporangiiferum ,Set_1-1,KSSO_6-30,R3,720,10,5,2,144
Phytophthora sansomeana,Set_1-1,KSSO_6-47,R1,280,0,5,0,56
Phytophthora sansomeana,Set_1-1,KSSO_6-47,R2,380,0,5,0,76
Phytophthora sansomeana,Set_1-1,KSSO_6-47,R3,630,0,5,0,126
Pythium aff. dissotocum,Set_1-1,MISO_1-33,R1,820,120,5,24,164
Pythium aff. dissotocum,Set_1-1,MISO_1-33,R2,790,90,5,18,158
Pythium aff. dissotocum,Set_1-1,MISO_1-33,R3,850,130,5,26,170
Pythium lutarium ,Set_1-1,MISO_1-4,R1,710,110,5,22,142
Pythium lutarium ,Set_1-1,MISO_1-4,R2,740,70,5,14,148
Pythium lutarium ,Set_1-1,MISO_1-4,R3,740,0,5,0,148
