"","Species","Isolate","Set","Rep","area.r","length.r","Weight.per.root","Weight.per.plant","r_s"
"1","Aphanomyces cladogamus","KSSO_5-30","Set_1-1","R1",0.968,14.646,26,164,0.158536585365854
"2","Aphanomyces cladogamus","KSSO_5-30","Set_1-1","R2",0.09,0.978,2,142,0.0140845070422535
"3","Aphanomyces cladogamus","KSSO_5-30","Set_1-1","R3",0.91,12.622,22,144,0.152777777777778
"4","Aphanomyces cladogamus","KSSO_5-30","Set_1-2","R1",2.314,28.35,22,134,0.164179104477612
"5","Aphanomyces cladogamus","KSSO_5-30","Set_1-2","R2",1.75,20.548,20,144,0.138888888888889
"6","Aphanomyces cladogamus","KSSO_5-30","Set_1-2","R3",3.492,39.902,40,140,0.285714285714286
"7","Aphanomyces cladogamus","KSSO_5-30","Set_1-3","R1",3.602,50.844,38,138,0.27536231884058
"8","Aphanomyces cladogamus","KSSO_5-30","Set_1-3","R2",3.248,51.074,52,126,0.412698412698413
"9","Aphanomyces cladogamus","KSSO_5-30","Set_1-3","R3",4.598,65.854,36,136,0.264705882352941
"10","Aphanomyces cochlioides","MICO_5-28_1","Set_3-1","R1",3.812,45.9,44,146,0.301369863013699
"11","Aphanomyces cochlioides","MICO_5-28_1","Set_3-1","R2",6.678,84.008,48,158,0.30379746835443
"12","Aphanomyces cochlioides","MICO_5-28_1","Set_3-1","R3",4.61,67.926,40,152,0.263157894736842
"13","Aphanomyces cochlioides","MICO_5-28_1","Set_3-2","R1",1.948,17.894,16,146,0.10958904109589
"14","Aphanomyces cochlioides","MICO_5-28_1","Set_3-2","R2",3.314,34.382,30,158,0.189873417721519
"15","Aphanomyces cochlioides","MICO_5-28_1","Set_3-2","R3",2.156,19.948,14,124,0.112903225806452
"16","Aphanomyces cochlioides","MICO_5-28_1","Set_3-3","R1",6.094,75.178,66,148,0.445945945945946
"17","Aphanomyces cochlioides","MICO_5-28_1","Set_3-3","R2",3.918,44.982,26,148,0.175675675675676
"18","Aphanomyces cochlioides","MICO_5-28_1","Set_3-3","R3",6.884,95.578,58,174,0.333333333333333
"19","CONTROL","CONTROL","Set_1-1","R1",2.82,35.58,36,164,0.219512195121951
"20","CONTROL","CONTROL","Set_1-1","R2",5.835,86.2166666666667,38,160,0.2375
"21","CONTROL","CONTROL","Set_1-1","R3",5.86,81.286,44,132,0.333333333333333
"22","CONTROL","CONTROL","Set_1-2","R1",3.52,45.31,38,132,0.287878787878788
"23","CONTROL","CONTROL","Set_1-2","R2",4.098,61.334,38,152,0.25
"24","CONTROL","CONTROL","Set_1-2","R3",4.96,63.41,48,190,0.252631578947368
"25","CONTROL","CONTROL","Set_1-3","R1",7.138,98.18,48,146,0.328767123287671
"26","CONTROL","CONTROL","Set_1-3","R2",3.688,48.818,38,144,0.263888888888889
"27","CONTROL","CONTROL","Set_1-3","R3",6.756,101.288,50,168,0.297619047619048
"28","CONTROL","CONTROL","Set_2-1","R1",12.118,94.948,56,164,0.341463414634146
"29","CONTROL","CONTROL","Set_2-1","R2",11.48,94.264,46,150,0.306666666666667
"30","CONTROL","CONTROL","Set_2-1","R3",11.176,96.19,50,162,0.308641975308642
"31","CONTROL","CONTROL","Set_2-2","R1",7.472,93.368,54,164,0.329268292682927
"32","CONTROL","CONTROL","Set_2-2","R2",7.648,107.068,62,154,0.402597402597403
"33","CONTROL","CONTROL","Set_2-2","R3",7.25666666666667,96.4016666666667,50,162,0.308641975308642
"34","CONTROL","CONTROL","Set_2-3","R1",10.486,133.446,80,222,0.36036036036036
"35","CONTROL","CONTROL","Set_2-3","R2",9.432,125.39,72,188,0.382978723404255
"36","CONTROL","CONTROL","Set_2-3","R3",7.64,113.246,58,158,0.367088607594937
"37","CONTROL","CONTROL","Set_3-1","R1",5.438,62.114,40,150,0.266666666666667
"38","CONTROL","CONTROL","Set_3-1","R2",7.192,68.262,46,144,0.319444444444444
"39","CONTROL","CONTROL","Set_3-1","R3",9.754,109.08,64,192,0.333333333333333
"40","CONTROL","CONTROL","Set_3-2","R1",8.038,78.414,42,156,0.269230769230769
"41","CONTROL","CONTROL","Set_3-2","R2",5.164,53.46,30,156,0.192307692307692
"42","CONTROL","CONTROL","Set_3-2","R3",8.436,81.472,32,140,0.228571428571429
"43","CONTROL","CONTROL","Set_3-3","R1",7.778,104.402,62,162,0.382716049382716
"44","CONTROL","CONTROL","Set_3-3","R2",7.888,112.046,56,192,0.291666666666667
"45","CONTROL","CONTROL","Set_3-3","R3",8.59,120.716,80,196,0.408163265306122
"46","CONTROL","CONTROL","Set_4-1","R1",7.176,94.936,60,176,0.340909090909091
"47","CONTROL","CONTROL","Set_4-1","R2",1.562,32.66,78,200,0.39
"48","CONTROL","CONTROL","Set_4-1","R3",0.908,23.186,54,164,0.329268292682927
"49","CONTROL","CONTROL","Set_4-2","R1",6.386,72.002,50,150,0.333333333333333
"50","CONTROL","CONTROL","Set_4-2","R2",8.926,102.806,70,186,0.376344086021505
"51","CONTROL","CONTROL","Set_4-2","R3",8.236,103.514,62,156,0.397435897435897
"52","CONTROL","CONTROL","Set_4-3","R1",7.642,79.122,64,192,0.333333333333333
"53","CONTROL","CONTROL","Set_4-3","R2",6.948,96.412,76,186,0.408602150537634
"54","CONTROL","CONTROL","Set_4-3","R3",7.918,90.988,72,208,0.346153846153846
"55","CONTROL","CONTROL","Set_5-1","R1",8.328,106.41,60,152,0.394736842105263
"56","CONTROL","CONTROL","Set_5-1","R2",8.79,108.968,60,156,0.384615384615385
"57","CONTROL","CONTROL","Set_5-1","R3",8.682,109.082,56,112,0.5
"58","CONTROL","CONTROL","Set_5-2","R1",5.65,86.08,50,156,0.320512820512821
"59","CONTROL","CONTROL","Set_5-2","R2",6.31,85.074,66,182,0.362637362637363
"60","CONTROL","CONTROL","Set_5-2","R3",5.86,71.008,62,144,0.430555555555556
"61","CONTROL","CONTROL","Set_5-3","R1",10.282,123.366,58,192,0.302083333333333
"62","CONTROL","CONTROL","Set_5-3","R2",9.378,124.12,68,160,0.425
"63","CONTROL","CONTROL","Set_5-3","R3",9.978,117.972,62,176,0.352272727272727
"64","CONTROL","CONTROL","Set_6-1","R1",7.67,90.636,82,174,0.471264367816092
"65","CONTROL","CONTROL","Set_6-1","R2",8.016,93.038,80,192,0.416666666666667
"66","CONTROL","CONTROL","Set_6-1","R3",8.736,103.078,80,198,0.404040404040404
"67","CONTROL","CONTROL","Set_6-2","R1",5.96166666666667,70.3833333333333,56,182,0.307692307692308
"68","CONTROL","CONTROL","Set_6-2","R2",6.67333333333333,76.825,60,190,0.315789473684211
"69","CONTROL","CONTROL","Set_6-2","R3",5.54,71.93,48,164,0.292682926829268
"70","CONTROL","CONTROL","Set_6-3","R1",9.252,108.418,84,174,0.482758620689655
"71","CONTROL","CONTROL","Set_6-3","R2",9.372,119.888,64,182,0.351648351648352
"72","CONTROL","CONTROL","Set_6-3","R3",6.61,80.004,72,196,0.36734693877551
"73","CONTROL","CONTROL","Set_7-1","R1",9.678,118.496,58,148,0.391891891891892
"74","CONTROL","CONTROL","Set_7-1","R2",6.626,89.762,62,152,0.407894736842105
"75","CONTROL","CONTROL","Set_7-1","R3",9.646,121.35,68,168,0.404761904761905
"76","CONTROL","CONTROL","Set_7-2","R1",7.928,102.276,66,194,0.34020618556701
"77","CONTROL","CONTROL","Set_7-2","R2",7.88,110.4,72,184,0.391304347826087
"78","CONTROL","CONTROL","Set_7-2","R3",7.364,100.47,68,196,0.346938775510204
"79","CONTROL","CONTROL","Set_7-3","R1",11.396,142.792,74,178,0.415730337078652
"80","CONTROL","CONTROL","Set_7-3","R2",8.888,113.346,68,160,0.425
"81","CONTROL","CONTROL","Set_7-3","R3",8.388,110.186,78,170,0.458823529411765
"82","CONTROL_NR","CONTROL_NR","Set_1-1","R1",5.96,88.128,36,170,0.211764705882353
"83","CONTROL_NR","CONTROL_NR","Set_1-1","R2",5.166,60.45,34,152,0.223684210526316
"84","CONTROL_NR","CONTROL_NR","Set_1-1","R3",6.98,116.338,36,138,0.260869565217391
"85","CONTROL_NR","CONTROL_NR","Set_1-2","R1",8.746,102.134,54,152,0.355263157894737
"86","CONTROL_NR","CONTROL_NR","Set_1-2","R2",3.414,51.484,52,146,0.356164383561644
"87","CONTROL_NR","CONTROL_NR","Set_1-2","R3",6.782,84.828,54,234,0.230769230769231
"88","CONTROL_NR","CONTROL_NR","Set_1-3","R1",5.62,80.156,46,146,0.315068493150685
"89","CONTROL_NR","CONTROL_NR","Set_1-3","R2",9.488,122.848,54,164,0.329268292682927
"90","CONTROL_NR","CONTROL_NR","Set_1-3","R3",7.77,92.784,60,184,0.326086956521739
"91","CONTROL_NR","CONTROL_NR","Set_2-1","R1",11.126,86.508,64,210,0.304761904761905
"92","CONTROL_NR","CONTROL_NR","Set_2-1","R2",15.146,117.512,72,180,0.4
"93","CONTROL_NR","CONTROL_NR","Set_2-1","R3",13.508,107.258,68,192,0.354166666666667
"94","CONTROL_NR","CONTROL_NR","Set_2-2","R1",11.47,130.828,66,194,0.34020618556701
"95","CONTROL_NR","CONTROL_NR","Set_2-2","R2",9.68333333333333,111.22,76,190,0.4
"96","CONTROL_NR","CONTROL_NR","Set_2-2","R3",9.11333333333333,91.965,58,182,0.318681318681319
"97","CONTROL_NR","CONTROL_NR","Set_2-3","R1",11.412,125.42,80,192,0.416666666666667
"98","CONTROL_NR","CONTROL_NR","Set_2-3","R2",8.288,108.186,66,158,0.417721518987342
"99","CONTROL_NR","CONTROL_NR","Set_2-3","R3",9.812,126.3,72,160,0.45
"100","CONTROL_NR","CONTROL_NR","Set_3-1","R1",17.084,149.35,88,198,0.444444444444444
"101","CONTROL_NR","CONTROL_NR","Set_3-1","R2",14.286,166.11,76,202,0.376237623762376
"102","CONTROL_NR","CONTROL_NR","Set_3-1","R3",12.582,108.51,56,158,0.354430379746835
"103","CONTROL_NR","CONTROL_NR","Set_3-2","R1",9.862,98.408,50,170,0.294117647058824
"104","CONTROL_NR","CONTROL_NR","Set_3-2","R2",9.04,72.55,30,134,0.223880597014925
