Isolate_rep,Area_pix,Area_cm,Length_pix,Length_cm,Set,Isolate,Rep,Set2,Species
AR_15.S.2.7.A_R1,35161,2.57,3231.48,27.62,Set_1-1,AR_15.S.2.7.A,R1,Set_1,Pythium aff. torulosum
AR_15.S.2.7.A_R1,14379,1.05,834.57,7.13,Set_1-1,AR_15.S.2.7.A,R1,Set_1,Pythium aff. torulosum
AR_15.S.2.7.A_R1,14819,1.08,1494.1,12.77,Set_1-1,AR_15.S.2.7.A,R1,Set_1,Pythium aff. torulosum
AR_15.S.2.7.A_R1,20855,1.52,3312.85,28.31,Set_1-1,AR_15.S.2.7.A,R1,Set_1,Pythium aff. torulosum
AR_15.S.2.7.A_R1,0,0,0,0,Set_1-1,AR_15.S.2.7.A,R1,Set_1,Pythium aff. torulosum
AR_15.S.2.7.A_R2,43802,3.2,5287.38,45.19,Set_1-1,AR_15.S.2.7.A,R2,Set_1,Pythium aff. torulosum
AR_15.S.2.7.A_R2,29964,2.19,3552.66,30.36,Set_1-1,AR_15.S.2.7.A,R2,Set_1,Pythium aff. torulosum
AR_15.S.2.7.A_R2,5725,0.42,294.61,2.52,Set_1-1,AR_15.S.2.7.A,R2,Set_1,Pythium aff. torulosum
AR_15.S.2.7.A_R2,14415,1.05,1894.55,16.19,Set_1-1,AR_15.S.2.7.A,R2,Set_1,Pythium aff. torulosum
AR_15.S.2.7.A_R2,44608,3.26,5183.44,44.3,Set_1-1,AR_15.S.2.7.A,R2,Set_1,Pythium aff. torulosum
AR_15.S.2.7.A_R3,29779,2.18,3923.51,33.53,Set_1-1,AR_15.S.2.7.A,R3,Set_1,Pythium aff. torulosum
AR_15.S.2.7.A_R3,29181,2.13,3887.8,33.23,Set_1-1,AR_15.S.2.7.A,R3,Set_1,Pythium aff. torulosum
AR_15.S.2.7.A_R3,37731,2.76,4115.03,35.17,Set_1-1,AR_15.S.2.7.A,R3,Set_1,Pythium aff. torulosum
AR_15.S.2.7.A_R3,27345,2,3594.04,30.72,Set_1-1,AR_15.S.2.7.A,R3,Set_1,Pythium aff. torulosum
AR_15.S.2.7.A_R3,0,0,0,0,Set_1-1,AR_15.S.2.7.A,R3,Set_1,Pythium aff. torulosum
