Year,qDef,qLen,HNum,HId,Taxon,Species,Voucher,HLen,Haccn,HspNum,hspScore,Media,State_Year,Host,Field,Latitude,Long,Lat,Clade,Genus,State
2011,AR_102.S.1.1.A,910,1,ref|HQ643849|,Pythium sylvaticum voucher BR179,Pythium sylvaticum,voucher BR179,910,HQ643849,,1790,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_102.S.1.2.A,924,1,ref|HQ643792|,Pythium spinosum voucher CBS27667,Pythium spinosum,voucher CBS27667,924,HQ643792,,1826,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_102.S.1.6.A,922,1,ref|HQ643845|,Pythium sylvaticum voucher CBS45367,Pythium sylvaticum,voucher CBS45367,922,HQ643845,,1820,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_102.S.1.7.A,944,1,ref|HQ643649|,Pythium irregulare voucher BR1039,Pythium irregulare,voucher BR1039,944,HQ643649,,1858,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_102.S.1.9.A,927,1,ref|HQ643791|,Pythium spinosum voucher CBS122663,Pythium spinosum,voucher CBS122663,927,HQ643791,,1718,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_102.S.2.7.A,914,1,ref|HQ643849|,Pythium sylvaticum voucher BR179,Pythium sylvaticum,voucher BR179,914,HQ643849,,1794,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_102.S.2.9.A,,,HQ643819,Pythium sp. CAL_2011f voucher BR779,Pythium sp.,voucher BR779,,HQ643819,,"1,548.94",C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium sp.,Pythium,Arkansas
2011,AR_102.S.3.10.A,907,1,ref|HQ643792|,Pythium spinosum voucher CBS27667,Pythium spinosum,voucher CBS27667,907,HQ643792,,1720,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_102.S.3.7.A,920,1,ref|HQ643793|,Pythium spinosum voucher CBS27567,Pythium spinosum,voucher CBS27567,920,HQ643793,,1606,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_111.S.1.1.A_1,801,1,ref|HQ643791|,Pythium spinosum voucher CBS122663,Pythium spinosum,voucher CBS122663,801,HQ643791,,1506,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_111.S.1.1.A,909,1,ref|HQ643848|,Pythium sylvaticum voucher BR599,Pythium sylvaticum,voucher BR599,909,HQ643848,,1796,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_111.S.3.6.A,923,1,ref|HQ643731|,Pythium paroecandrum voucher CBS15764,Pythium paroecandrum,voucher CBS15764,923,HQ643731,,1632,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_117.S.2.8.A,905,1,ref|HQ643849|,Pythium sylvaticum voucher BR179,Pythium sylvaticum,voucher BR179,905,HQ643849,,1788,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_117.S.2.8.B,913,1,ref|HQ643849|,Pythium sylvaticum voucher BR179,Pythium sylvaticum,voucher BR179,913,HQ643849,,1804,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_127.S.1.3.A,919,1,ref|HQ643792|,Pythium spinosum voucher CBS27667,Pythium spinosum,voucher CBS27667,919,HQ643792,,1686,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_127.S.1.4.A,930,1,ref|HQ643794|,Pythium spinosum voucher Lev1526,Pythium spinosum,voucher Lev1526,930,HQ643794,,1656,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_127.S.2.2.A,916,1,ref|HQ643731|,Pythium paroecandrum voucher CBS15764,Pythium paroecandrum,voucher CBS15764,916,HQ643731,,1632,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_127.S.2.3.A,943,1,ref|HQ643596|,Pythium irregulare voucher CBS25028,Pythium irregulare,voucher CBS25028,943,HQ643596,,1802,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_127.S.2.5.A,917,1,ref|HQ643794|,Pythium spinosum voucher Lev1526,Pythium spinosum,voucher Lev1526,917,HQ643794,,1810,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
